2025-06-11T00:01:26.193Z [INFO] Serveur démarré sur http://localhost:3000
2025-06-11T00:14:44.184Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:44.353Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:44.534Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:44.710Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:44.891Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:45.063Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:45.236Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:45.412Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:45.592Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:45.773Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:45.945Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:46.151Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:46.338Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:46.505Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:46.676Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:46.851Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:47.014Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:47.185Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:47.371Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:47.538Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:47.708Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:47.882Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:48.052Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:48.227Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:48.386Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:48.571Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:48.752Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:48.931Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:49.159Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:49.396Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:49.634Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:49.872Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:50.097Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:50.335Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:50.558Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:50.774Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:50.997Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:51.234Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:51.440Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:51.679Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:51.897Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:52.139Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:52.351Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:52.584Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:52.810Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:53.039Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:53.258Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:53.488Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:53.722Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:53.944Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:54.150Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:54.357Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
